SWVersion:1.0,,,,,,,
Serial Number,Test Start Time,Test Stop Time, SubStation ID, Overall Result, FailingBands,Frequency（GHz）,Mag Log(dB)
,2021/6/13 15:27,2021/6/13 15:27,HV0-1,FAIL,S44 ,6.416,-11.7810093
AMV0411820024671W30,2021/6/13 15:28,2021/6/13 15:28,HV0-1,FAIL,S11 S33 S44 ,6.347,-9.139835782
,2021/6/13 15:28,2021/6/13 15:28,HV0-1,FAIL,S44 ,6.416,-12.09813935
,2021/6/13 15:28,2021/6/13 15:28,HV0-1,FAIL,S44 ,6.416,-11.88509614
AMV0411820024671W30,2021/6/13 15:28,2021/6/13 15:28,HV0-1,FAIL,S11 S22 S33 S44 ,6.347,-9.155972975
,2021/6/13 15:28,2021/6/13 15:28,HV0-1,FAIL,S44 ,6.406,-12.00389995
,2021/6/13 15:28,2021/6/13 15:28,HV0-1,FAIL,S44 ,6.416,-11.87993876
AMV0411820024671W30,2021/6/13 15:28,2021/6/13 15:28,HV0-1,FAIL,S11 S22 S33 S44 ,6.347,-9.167478897
,2021/6/13 15:28,2021/6/13 15:29,HV0-1,FAIL,S44 ,6.406,-12.01260405
,2021/6/13 15:29,2021/6/13 15:29,HV0-1,FAIL,S44 ,6.416,-11.87501358
AMV0411820024671W30,2021/6/13 15:29,2021/6/13 15:29,HV0-1,FAIL,S11 S22 S33 S44 ,6.347,-9.174235129
,2021/6/13 15:29,2021/6/13 15:29,HV0-1,FAIL,S44 ,6.406,-11.99546065
,2021/6/13 15:29,2021/6/13 15:29,HV0-1,FAIL,S44 ,6.416,-11.79035807
AMV0411820024671W30,2021/6/13 15:29,2021/6/13 15:29,HV0-1,FAIL,S11 S22 S33 S44 ,6.347,-9.168284227
,2021/6/13 15:29,2021/6/13 15:29,HV0-1,FAIL,S44 ,6.406,-12.018022
,2021/6/13 15:29,2021/6/13 15:29,HV0-1,FAIL,S44 ,6.416,-11.80041067
